"hotel","country","season","total_bookings","canceled_bookings","cancel_rate"
"City Hotel","PRT","Spring",7761,5275,67.96804535498
"City Hotel","PRT","Autumn",9159,6060,66.1644284310514
"City Hotel","PRT","Summer",8949,5829,65.135769359705
"City Hotel","PRT","Winter",5091,2917,57.2971911215871
"City Hotel","ITA","Summer",1057,504,47.682119205298
"Resort Hotel","PRT","Spring",4316,1991,46.1306765523633
"Resort Hotel","PRT","Summer",5485,2519,45.9252506836828
"Resort Hotel","PRT","Autumn",3534,1615,45.6989247311828
"City Hotel","BRA","Spring",539,245,45.4545454545455
"City Hotel","BRA","Summer",391,177,45.2685421994885
"City Hotel","BRA","Winter",535,211,39.4392523364486
"City Hotel","ITA","Spring",906,350,38.6313465783664
"City Hotel","IRL","Autumn",233,90,38.6266094420601
"City Hotel","ITA","Winter",660,247,37.4242424242424
"City Hotel","ESP","Spring",1006,373,37.0775347912525
"City Hotel","IRL","Summer",411,149,36.2530413625304
"City Hotel","GBR","Spring",1620,526,32.4691358024691
"City Hotel","ESP","Summer",1552,486,31.3144329896907
"Resort Hotel","ESP","Summer",1491,460,30.8517773306506
"Resort Hotel","PRT","Winter",4295,1313,30.5704307334109
"City Hotel","GBR","Winter",576,174,30.2083333333333
"City Hotel","GBR","Summer",2087,630,30.1868711068519
"Resort Hotel","BRA","Winter",87,26,29.8850574712644
"City Hotel","BRA","Autumn",329,96,29.1793313069909
"Resort Hotel","BRA","Autumn",72,21,29.1666666666667
"City Hotel","IRL","Spring",446,128,28.6995515695067
"City Hotel","ESP","Winter",1174,330,28.1090289608177
"City Hotel","IRL","Winter",119,33,27.7310924369748
"Resort Hotel","ITA","Summer",152,42,27.6315789473684
"Resort Hotel","DEU","Summer",199,53,26.6331658291457
"City Hotel","FRA","Summer",2554,629,24.6280344557557
"Resort Hotel","IRL","Autumn",617,149,24.1491085899514
"City Hotel","BEL","Spring",570,137,24.0350877192982
"City Hotel","BEL","Summer",727,169,23.2462173314993
"City Hotel","DEU","Winter",592,137,23.1418918918919
"City Hotel","GBR","Autumn",1032,232,22.4806201550388
"City Hotel","ITA","Autumn",684,152,22.2222222222222
"Resort Hotel","FRA","Summer",354,78,22.0338983050847
"City Hotel","NLD","Spring",486,107,22.0164609053498
"City Hotel","DEU","Spring",1819,398,21.8801539307312
"Resort Hotel","BRA","Summer",157,33,21.0191082802548
"City Hotel","NLD","Summer",550,115,20.9090909090909
"Resort Hotel","IRL","Summer",714,148,20.7282913165266
"City Hotel","NLD","Winter",227,46,20.2643171806167
"Resort Hotel","ESP","Autumn",731,147,20.109439124487
"City Hotel","FRA","Spring",2757,545,19.7678636198767
"Resort Hotel","BEL","Autumn",143,28,19.5804195804196
"City Hotel","NLD","Autumn",327,63,19.2660550458716
"Resort Hotel","ESP","Spring",816,155,18.9950980392157
"Resort Hotel","BRA","Spring",114,21,18.4210526315789
"Resort Hotel","ITA","Winter",125,23,18.4
"City Hotel","BEL","Autumn",377,69,18.3023872679045
"City Hotel","BEL","Winter",220,40,18.1818181818182
"Resort Hotel","NLD","Summer",106,19,17.9245283018868
"City Hotel","FRA","Winter",1507,267,17.7173191771732
"Resort Hotel","IRL","Spring",624,104,16.6666666666667
"City Hotel","ESP","Autumn",879,137,15.5858930602958
"City Hotel","DEU","Summer",2293,356,15.5255124291321
"Resort Hotel","DEU","Winter",140,21,15
"Resort Hotel","GBR","Summer",1828,273,14.9343544857768
"Resort Hotel","IRL","Winter",211,31,14.6919431279621
"City Hotel","FRA","Autumn",1986,282,14.1993957703927
"Resort Hotel","NLD","Spring",158,22,13.9240506329114
"Resort Hotel","FRA","Spring",437,60,13.7299771167048
"City Hotel","DEU","Autumn",1380,181,13.1159420289855
"Resort Hotel","FRA","Winter",356,46,12.9213483146067
"Resort Hotel","DEU","Autumn",234,30,12.8205128205128
"Resort Hotel","GBR","Spring",2072,265,12.7895752895753
"Resort Hotel","GBR","Autumn",1949,240,12.3140071831709
"Resort Hotel","GBR","Winter",965,113,11.7098445595855
"Resort Hotel","BEL","Spring",135,15,11.1111111111111
"Resort Hotel","ITA","Autumn",86,9,10.4651162790698
"Resort Hotel","BEL","Summer",111,11,9.90990990990991
"Resort Hotel","ESP","Winter",919,89,9.68443960826986
"Resort Hotel","NLD","Winter",113,10,8.84955752212389
"Resort Hotel","BEL","Winter",59,5,8.47457627118644
"Resort Hotel","DEU","Spring",630,42,6.66666666666667
"Resort Hotel","ITA","Spring",96,6,6.25
"Resort Hotel","FRA","Autumn",464,27,5.81896551724138
"Resort Hotel","NLD","Autumn",137,5,3.64963503649635
